speakerid,native_language,native_lang_code,age,wer,mer,L1_American,L1_Australian,L1_British,L1_Canadian,sex_0,sex_1
552,American,10,23,0.028985507,0.028985507,1,0,0,0,1,0
548,American,10,36,0.028985507,0.028985507,1,0,0,0,0,1
547,American,10,22,0.028985507,0.028985507,1,0,0,0,1,0
546,American,10,26,0.028985507,0.028985507,1,0,0,0,1,0
542,American,10,25,0.028985507,0.028985507,1,0,0,0,0,1
540,American,10,20,0.028985507,0.028985507,1,0,0,0,1,0
538,American,10,19,0.028985507,0.028985507,1,0,0,0,1,0
527,American,10,22,0.028985507,0.028985507,1,0,0,0,1,0
526,American,10,40,0.028985507,0.028985507,1,0,0,0,0,1
523,American,10,18,0.028985507,0.028985507,1,0,0,0,1,0
517,American,10,31,0.028985507,0.028985507,1,0,0,0,1,0
507,American,10,18,0.028985507,0.028985507,1,0,0,0,1,0
490,American,10,35,0.028985507,0.028985507,1,0,0,0,1,0
469,American,10,35,0.028985507,0.028985507,1,0,0,0,1,0
465,American,10,18,0.028985507,0.028985507,1,0,0,0,0,1
446,American,10,21,0.028985507,0.028985507,1,0,0,0,0,1
444,American,10,75,0.028985507,0.028985507,1,0,0,0,0,1
416,American,10,41,0.028985507,0.028985507,1,0,0,0,0,1
163,American,10,41,0.028985507,0.028985507,1,0,0,0,1,0
162,American,10,43,0.028985507,0.028985507,1,0,0,0,0,1
159,American,10,18,0.028985507,0.028985507,1,0,0,0,1,0
155,American,10,43,0.028985507,0.028985507,1,0,0,0,1,0
146,American,10,40,0.028985507,0.028985507,1,0,0,0,1,0
145,American,10,18,0.028985507,0.028985507,1,0,0,0,1,0
141,American,10,50,0.028985507,0.028985507,1,0,0,0,0,1
133,American,10,21,0.028985507,0.028985507,1,0,0,0,1,0
127,American,10,19,0.028985507,0.028985507,1,0,0,0,1,0
122,American,10,24,0.028985507,0.028985507,1,0,0,0,1,0
121,American,10,18,0.028985507,0.028985507,1,0,0,0,0,1
120,American,10,23,0.028985507,0.028985507,1,0,0,0,0,1
109,American,10,30,0.028985507,0.028985507,1,0,0,0,1,0
107,American,10,57,0.028985507,0.028985507,1,0,0,0,1,0
104,American,10,20,0.028985507,0.028985507,1,0,0,0,1,0
95,American,10,68,0.028985507,0.028985507,1,0,0,0,1,0
94,American,10,50,0.028985507,0.028985507,1,0,0,0,1,0
84,American,10,18,0.028985507,0.028985507,1,0,0,0,0,1
81,American,10,39,0.028985507,0.028985507,1,0,0,0,0,1
78,American,10,42,0.028985507,0.028985507,1,0,0,0,0,1
